mβ,β2,ρ,α,frac_overlap,Ne,av_poly
0.3,0.09000090000000001,0.003,0.3,0.05453093310108174,3703.6666670370328,3343.543905195239
0.6,0.36000360000000003,0.003,0.3,0.02159094923039821,925.9166667592582,975.6896101118953
0.9,0.8100081000000001,0.003,0.3,0.0,411.51851855967027,413.32475092976597
0.3,0.09000090000000001,0.010000000000000004,0.3,0.1704845263266251,1111.1000001111095,1233.0175538676365
0.6,0.36000360000000003,0.010000000000000004,0.3,0.07017426937343077,277.77500002777737,332.58269192469066
0.9,0.8100081000000001,0.010000000000000004,0.3,0.0285371317999727,123.45555556790104,129.7083045925352
0.3,0.09000090000000001,0.01778279410038924,0.3,0.28278821539854215,624.8174464814781,697.106311380503
0.6,0.36000360000000003,0.01778279410038924,0.3,0.12136360751043793,156.20436162036953,218.10250770915465
0.9,0.8100081000000001,0.01778279410038924,0.3,0.05018216908731344,69.42416072016424,88.67154098987764
0.3,0.09000090000000001,0.0316227766016838,0.3,0.4462659208936889,351.3606708564446,525.2367696044287
0.6,0.36000360000000003,0.0316227766016838,0.3,0.20553060893890002,87.84016771411115,142.76927938535204
0.9,0.8100081000000001,0.0316227766016838,0.3,0.0874884710123823,39.04007453960495,52.65605517513997
0.3,0.09000090000000001,0.05623413251903493,0.3,0.6504418608569462,197.58462526918308,394.19164318612866
0.6,0.36000360000000003,0.05623413251903493,0.3,0.33578341568482173,49.39615631729577,102.73365042174068
0.9,0.8100081000000001,0.05623413251903493,0.3,0.15024627567119542,21.953847252131453,37.412462083732976
0.3,0.09000090000000001,0.10000000000000002,0.3,0.8457394790288526,111.11000001111097,417.96959593965545
0.6,0.36000360000000003,0.10000000000000002,0.3,0.5169207601810318,27.777500002777742,83.84524717827007
0.9,0.8100081000000001,0.10000000000000002,0.3,0.2513746026241602,12.345555556790107,30.304366962326434
